,time,wait,com
2018-10-01 06:22:00,1538346120000,14,5016
2018-10-01 06:23:00,1538346180000,4957,4957
2018-10-01 06:24:00,1538346240000,2227,2227
2018-10-01 06:25:00,1538346300000,4553,4553
2018-10-01 06:26:00,1538346360000,479,5830
2018-10-01 06:27:00,1538346420000,609,1804
2018-10-01 06:28:00,1538346480000,1860,1860
2018-10-01 06:29:00,1538346540000,1544,1544
2018-10-01 06:30:00,1538346600000,2082,2082
2018-10-01 06:31:00,1538346660000,1195,1195
2018-10-01 06:32:00,1538346720000,0,6147
2018-10-01 06:33:00,1538346780000,640,1910
2018-10-01 06:34:00,1538346840000,5135,5135
2018-10-01 06:35:00,1538346900000,1231,1231
2018-10-01 06:36:00,1538346960000,872,2418
2018-10-01 06:37:00,1538347020000,2446,2446
2018-10-01 06:38:00,1538347080000,47,6424
2018-10-01 06:39:00,1538347140000,2719,2719
2018-10-01 06:40:00,1538347200000,1012,1012
2018-10-01 06:41:00,1538347260000,3955,3955
2018-10-01 06:42:00,1538347320000,4195,4195
2018-10-01 06:43:00,1538347380000,593,3417
2018-10-01 06:44:00,1538347440000,3560,3560
2018-10-01 06:45:00,1538347500000,1151,1151
2018-10-01 06:46:00,1538347560000,364,1695
2018-10-01 06:47:00,1538347620000,1778,1778
2018-10-01 06:48:00,1538347680000,1841,1841
2018-10-01 06:49:00,1538347740000,1836,1836
2018-10-01 06:50:00,1538347800000,3504,3504
2018-10-01 06:51:00,1538347860000,1565,1565
2018-10-01 06:52:00,1538347920000,221,3355
2018-10-01 06:53:00,1538347980000,1197,1197
2018-10-01 06:54:00,1538348040000,1938,1938
2018-10-01 06:55:00,1538348100000,3139,3139
2018-10-01 06:56:00,1538348160000,134,1833
2018-10-01 06:57:00,1538348220000,609,2257
2018-10-01 06:58:00,1538348280000,257,2785
2018-10-01 06:59:00,1538348340000,2041,2041
2018-10-01 07:00:00,1538348400000,1315,1315
2018-10-01 07:01:00,1538348460000,825,2102
2018-10-01 07:02:00,1538348520000,335,2984
2018-10-01 07:03:00,1538348580000,2350,2350
2018-10-01 07:04:00,1538348640000,2455,2455
2018-10-01 07:05:00,1538348700000,1103,1103
2018-10-01 07:06:00,1538348760000,987,4015
2018-10-01 07:07:00,1538348820000,1999,1999
2018-10-01 07:08:00,1538348880000,1070,1070
2018-10-01 07:09:00,1538348940000,700,1609
2018-10-01 07:10:00,1538349000000,53,1520
2018-10-01 07:11:00,1538349060000,404,1620
2018-10-01 07:12:00,1538349120000,1887,1887
2018-10-01 07:13:00,1538349180000,5568,5568
2018-10-01 07:14:00,1538349240000,2474,2474
2018-10-01 07:15:00,1538349300000,3388,1027
2018-10-01 07:16:00,1538349360000,5302,1713
2018-10-01 07:17:00,1538349420000,3887,3887
2018-10-01 07:18:00,1538349480000,3061,1436
2018-10-01 07:19:00,1538349540000,5171,5171
2018-10-01 07:20:00,1538349600000,4391,2066
2018-10-01 07:21:00,1538349660000,3402,1103
2018-10-01 07:22:00,1538349720000,4136,1310
2018-10-01 07:23:00,1538349780000,2807,1055
2018-10-01 07:24:00,1538349840000,3597,3597
2018-10-01 07:25:00,1538349900000,3989,3989
2018-10-01 07:26:00,1538349960000,2626,2626
2018-10-01 07:27:00,1538350020000,2241,2241
2018-10-01 07:28:00,1538350080000,1294,1294
2018-10-01 07:29:00,1538350140000,1097,1097
2018-10-01 07:30:00,1538350200000,2942,2942
2018-10-01 07:31:00,1538350260000,1467,1467
2018-10-01 07:32:00,1538350320000,4392,4392
2018-10-01 07:33:00,1538350380000,2076,2076
2018-10-01 07:34:00,1538350440000,1109,1109
2018-10-01 07:35:00,1538350500000,1978,1978
2018-10-01 07:36:00,1538350560000,1482,1482
2018-10-01 07:37:00,1538350620000,3480,3480
2018-10-01 07:38:00,1538350680000,1182,1182
2018-10-01 07:39:00,1538350740000,1540,1540
2018-10-01 07:40:00,1538350800000,2475,2475
2018-10-01 07:41:00,1538350860000,912,1008
2018-10-01 07:42:00,1538350920000,669,2590
2018-10-01 07:43:00,1538350980000,2180,2180
